Dataset_Name,Dataset_Type,K_Value,Q_Budget,Iteration,Exec_Time_Coreset,Cost_P_C_Baseline,Cost_Q_C_prime,Cost_P_C_prime,Cost_Random,Exec_Time_Random
birb,image,4,4096,6,0.3665,16107.64453125,16045.3056640625,16107.26,16134.104,0.0451
birb,image,4,4096,7,0.2821,16107.64453125,16093.271484375,16108.182,16130.221,0.0461
birb,image,4,4096,8,0.4249,16107.64453125,16059.21875,16114.189,16156.66,0.0463
birb,image,4,4096,9,0.4032,16107.64453125,16101.0361328125,16133.547,16120.437,0.0798
birb,image,4,8192,0,0.6251,16107.64453125,16089.1640625,16108.786,16166.641,0.1011
birb,image,4,8192,1,0.4009,16107.64453125,16094.55078125,16123.976,16119.865,0.0464
birb,image,4,8192,2,0.3003,16107.64453125,16161.2587890625,16112.209,16115.489,0.0491
birb,image,4,8192,3,0.4376,16107.64453125,16160.345703125,16117.389,16120.609,0.0434
birb,image,4,8192,4,0.4534,16107.64453125,16104.94921875,16118.633,16132.07,0.0657
birb,image,4,8192,5,0.5918,16107.64453125,16115.681640625,16130.305,16116.485,0.0506
birb,image,4,8192,6,0.344,16107.64453125,16115.89453125,16106.292,16114.676,0.0478
birb,image,4,8192,7,0.3251,16107.64453125,16165.01171875,16108.826,16118.811,0.0474
birb,image,4,8192,8,0.3641,16107.64453125,16059.42578125,16115.22,16127.044,0.0631
birb,image,4,8192,9,0.4591,16107.64453125,16116.697265625,16118.058,16110.321,0.0704
birb,image,8,64,0,0.5431,8191.28955078125,6067.9443359375,9828.938,9734.582,0.0371
birb,image,8,64,1,0.4724,8191.28955078125,7300.19775390625,9432.088,9384.764,0.0361
birb,image,8,64,2,0.4091,8191.28955078125,7295.85107421875,10711.833,10414.679,0.0497
birb,image,8,64,3,0.3292,8191.28955078125,6802.5234375,10192.536,10842.154,0.0327
birb,image,8,64,4,0.3968,8191.28955078125,7569.8369140625,9467.492,9583.283,0.0363
birb,image,8,64,5,0.3979,8191.28955078125,8437.9521484375,9556.268,9468.485,0.0329
birb,image,8,64,6,0.497,8191.28955078125,6412.6953125,10737.257,10278.443,0.042
birb,image,8,64,7,0.3766,8191.28955078125,7103.3564453125,10109.281,10847.045,0.0365
birb,image,8,64,8,0.4135,8191.28955078125,6476.611328125,9738.808,11934.705,0.0393
birb,image,8,64,9,0.3808,8191.28955078125,7176.90185546875,10415.283,9068.18,0.0366
birb,image,8,128,0,0.4087,8191.28955078125,7184.0419921875,9681.076,9548.971,0.0385
birb,image,8,128,1,0.3864,8191.28955078125,7725.77783203125,8959.133,8758.629,0.0363
birb,image,8,128,2,0.3447,8191.28955078125,9112.46875,9801.701,10423.1045,0.0398
birb,image,8,128,3,0.348,8191.28955078125,7351.63525390625,9161.74,10227.002,0.0364
birb,image,8,128,4,0.4132,8191.28955078125,8292.720703125,9872.215,9910.826,0.0449
birb,image,8,128,5,0.3677,8191.28955078125,8715.21484375,10256.174,9759.137,0.0336
birb,image,8,128,6,0.356,8191.28955078125,7574.3955078125,9100.467,9122.475,0.037
birb,image,8,128,7,0.3528,8191.28955078125,7632.3525390625,8699.386,9821.238,0.036
birb,image,8,128,8,0.4425,8191.28955078125,7915.865234375,9455.574,9754.037,0.0379
birb,image,8,128,9,0.3819,8191.28955078125,8346.689453125,9910.604,8936.459,0.034
birb,image,8,256,0,0.328,8191.28955078125,8587.169921875,9451.641,10126.367,0.0475
birb,image,8,256,1,0.2956,8191.28955078125,8400.8837890625,9209.192,9255.293,0.0365
birb,image,8,256,2,0.3533,8191.28955078125,8451.337890625,8991.031,8564.76,0.0399
birb,image,8,256,3,0.4069,8191.28955078125,7941.7470703125,9233.716,8486.951,0.0328
birb,image,8,256,4,0.3804,8191.28955078125,8266.384765625,9141.451,9397.113,0.0383
birb,image,8,256,5,0.4788,8191.28955078125,7369.7529296875,8603.96,8891.037,0.0353
birb,image,8,256,6,0.7273,8191.28955078125,7496.078125,8532.588,8909.77,0.0402
birb,image,8,256,7,0.536,8191.28955078125,8368.833984375,9086.73,8718.99,0.0375
birb,image,8,256,8,0.3815,8191.28955078125,8479.1953125,9308.666,8359.985,0.0492
birb,image,8,256,9,0.527,8191.28955078125,8685.60546875,9284.904,9163.36,0.038
birb,image,8,512,0,0.4736,8191.28955078125,7861.29736328125,8529.037,9013.8125,0.0496
birb,image,8,512,1,0.5957,8191.28955078125,8028.98779296875,8425.266,8933.193,0.0355
birb,image,8,512,2,0.3676,8191.28955078125,8094.166015625,8334.639,9424.181,0.0389
birb,image,8,512,3,0.4104,8191.28955078125,8121.41455078125,8252.389,8875.632,0.0354
