Dataset,Clusters,Budget,Iteration,Cost,Time
uber,4,4096,4,334.87970358714585,0.2622
uber,8,64,0,194.90455464919103,0.2634
uber,8,64,1,199.5673746094007,0.2318
uber,8,64,2,205.1601161237913,0.2713
uber,8,64,3,189.2104380856461,0.2496
uber,8,64,4,205.30690587235077,0.2639
uber,8,128,0,173.5109076828379,0.2735
uber,8,128,1,192.07159706146263,0.2474
uber,8,128,2,180.12761078390338,0.2887
uber,8,128,3,191.1657686863316,0.2667
uber,8,128,4,179.12012042208067,0.2494
uber,8,256,0,177.88579125423405,0.2193
uber,8,256,1,174.08281409127096,0.2753
uber,8,256,2,193.15193462836442,0.2638
uber,8,256,3,170.47256519939896,0.2603
uber,8,256,4,168.60385783129348,0.2772
uber,8,512,0,172.74804036003397,0.2976
uber,8,512,1,180.85908067489927,0.2577
uber,8,512,2,168.0157925061627,0.2654
uber,8,512,3,173.9421516751951,0.1986
uber,8,512,4,169.18746102813878,0.2829
uber,8,1024,0,169.27523613695706,0.2783
uber,8,1024,1,168.8439846041847,0.2376
uber,8,1024,2,162.65427960513955,0.2643
uber,8,1024,3,170.81732478417473,0.2632
uber,8,1024,4,167.7804566443429,0.2434
uber,8,4096,0,168.35313961972648,0.2542
uber,8,4096,1,172.71527051441262,0.3216
uber,8,4096,2,162.04025102539106,0.3135
uber,8,4096,3,168.05907374565584,0.2626
uber,8,4096,4,166.78629819266325,0.2817
uber,16,64,0,89.53819739700907,0.3016
uber,16,64,1,100.18362206629725,0.2862
uber,16,64,2,100.92968892909606,0.255
uber,16,64,3,90.80152108567393,0.267
uber,16,64,4,103.85304215139726,0.3183
uber,16,128,0,88.040840806246,0.3096
uber,16,128,1,94.09064704142403,0.3394
uber,16,128,2,88.40925605884206,0.3045
uber,16,128,3,98.48579491666379,0.2835
uber,16,128,4,93.1831266046847,0.3239
uber,16,256,0,94.24805687570847,0.3243
uber,16,256,1,83.17064461513387,0.2934
uber,16,256,2,80.92317268592743,0.2934
uber,16,256,3,89.83119416324604,0.2829
uber,16,256,4,86.86922022701752,0.2717
uber,16,512,0,93.0194275551998,0.3067
uber,16,512,1,88.67562915574447,0.2596
uber,16,512,2,88.80078595991051,0.2835
uber,16,512,3,92.24580903124387,0.2758
uber,16,512,4,84.1742340446076,0.2955
uber,16,1024,0,79.10557649212956,0.3034
uber,16,1024,1,81.63670863336489,0.2849
uber,16,1024,2,87.0432808811138,0.3172
uber,16,1024,3,78.57380642877212,0.2945
uber,16,1024,4,78.29721402136347,0.3095
uber,16,4096,0,77.58467685776029,0.3446
uber,16,4096,1,81.75850472399412,0.3788
uber,16,4096,2,83.57325221260373,0.313
uber,16,4096,3,83.61421007607416,0.3498
uber,16,4096,4,80.47486318966361,0.3207
